,year,name,movie,genre,age
28,1965,Rod Steiger,The Pawnbroker,M,
29,1965,Oskar Werner,Ship of Fools,M,
30,1966,Paul Scofield ‡,A Man for All Seasons,M,
31,1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",M,
32,1966,Richard Burton,Who's Afraid of Virginia Woolf?,M,
33,1966,Michael Caine,Alfie,M,
34,1966,Steve McQueen,The Sand Pebbles,M,
35,1967,Rod Steiger ‡,In the Heat of the Night,M,
36,1967,Warren Beatty,Bonnie and Clyde,M,
37,1967,Dustin Hoffman,The Graduate,M,
38,1967,Paul Newman,Cool Hand Luke,M,
39,1967,Spencer Tracy †,Guess Who's Coming to Dinner,M,
40,1968,Cliff Robertson ‡,Charly,M,
41,1968,Alan Arkin,The Heart Is a Lonely Hunter,M,
42,1968,Alan Bates,The Fixer,M,
43,1968,Ron Moody,Oliver!,M,
44,1968,Peter O'Toole,The Lion in Winter,M,
45,1969,John Wayne ‡,True Grit,M,
46,1969,Richard Burton,Anne of the Thousand Days,M,
47,1969,Dustin Hoffman,Midnight Cowboy,M,
48,1969,Peter O'Toole,"Goodbye, Mr. Chips",M,
49,1969,Jon Voight,Midnight Cowboy,M,
0,1970,George C. Scott §[50],Patton,M,
1,1970,Melvyn Douglas,I Never Sang for My Father,M,
2,1970,James Earl Jones,The Great White Hope,M,
3,1970,Jack Nicholson,Five Easy Pieces,M,
4,1970,Ryan O'Neal,Love Story,M,
5,1971,Gene Hackman ‡,The French Connection,M,
6,1971,Peter Finch,Sunday Bloody Sunday,M,
7,1971,Walter Matthau,Kotch,M,
8,1971,George C. Scott,The Hospital,M,
9,1971,Topol,Fiddler on the Roof,M,
10,1972,Marlon Brando §[50],The Godfather,M,
11,1972,Michael Caine,Sleuth,M,
12,1972,Laurence Olivier,Sleuth,M,
13,1972,Peter O'Toole,The Ruling Class,M,
14,1972,Paul Winfield,Sounder,M,
15,1973,Jack Lemmon ‡,Save the Tiger,M,
16,1973,Marlon Brando,Last Tango in Paris,M,
17,1973,Jack Nicholson,The Last Detail,M,
18,1973,Al Pacino,Serpico,M,
19,1973,Robert Redford,The Sting,M,
20,1974,Art Carney ‡,Harry and Tonto,M,
21,1974,Albert Finney,Murder on the Orient Express,M,
22,1974,Dustin Hoffman,Lenny,M,
23,1974,Jack Nicholson,Chinatown,M,
24,1974,Al Pacino,The Godfather Part II,M,
25,1975,Jack Nicholson ‡,One Flew Over the Cuckoo's Nest,M,
26,1975,Walter Matthau,The Sunshine Boys,M,
27,1975,Al Pacino,Dog Day Afternoon,M,
28,1975,Maximilian Schell,The Man in the Glass Booth,M,
29,1975,James Whitmore,"Give 'em Hell, Harry!",M,
30,1976,Peter Finch †,Network,M,
31,1976,Robert De Niro,Taxi Driver,M,
32,1976,Giancarlo Giannini,Seven Beauties,M,
33,1976,William Holden,Network,M,
34,1976,Sylvester Stallone,Rocky,M,
35,1977,Richard Dreyfuss ‡,The Goodbye Girl,M,
36,1977,Woody Allen,Annie Hall,M,
37,1977,Richard Burton,Equus,M,
38,1977,Marcello Mastroianni,A Special Day,M,
39,1977,John Travolta,Saturday Night Fever,M,
40,1978,Jon Voight ‡,Coming Home,M,
41,1978,Warren Beatty,Heaven Can Wait,M,
42,1978,Gary Busey,The Buddy Holly Story,M,
43,1978,Robert De Niro,The Deer Hunter,M,
44,1978,Laurence Olivier,The Boys from Brazil,M,
45,1979,Dustin Hoffman ‡,Kramer vs. Kramer,M,
46,1979,Jack Lemmon,The China Syndrome,M,
47,1979,Al Pacino,...And Justice for All,M,
48,1979,Roy Scheider,All That Jazz,M,
49,1979,Peter Sellers,Being There,M,
0,1980,Robert De Niro ‡,Raging Bull,M,
1,1980,Robert Duvall,The Great Santini,M,
2,1980,John Hurt,The Elephant Man,M,
3,1980,Jack Lemmon,Tribute,M,
4,1980,Peter O'Toole,The Stunt Man,M,
5,1981,Henry Fonda ‡,On Golden Pond,M,
6,1981,Warren Beatty,Reds,M,
7,1981,Burt Lancaster,Atlantic City,M,
8,1981,Dudley Moore,Arthur,M,
9,1981,Paul Newman,Absence of Malice,M,
10,1982,Ben Kingsley ‡,Gandhi,M,
11,1982,Dustin Hoffman,Tootsie,M,
12,1982,Jack Lemmon,Missing,M,
13,1982,Paul Newman,The Verdict,M,
14,1982,Peter O'Toole,My Favorite Year,M,
15,1983,Robert Duvall ‡,Tender Mercies,M,
16,1983,Michael Caine,Educating Rita,M,
17,1983,Tom Conti,"Reuben, Reuben",M,
18,1983,Tom Courtenay,The Dresser,M,
19,1983,Albert Finney,The Dresser,M,
20,1984,F. Murray Abraham ‡,Amadeus,M,
21,1984,Jeff Bridges,Starman,M,
22,1984,Albert Finney,Under the Volcano,M,
23,1984,Tom Hulce,Amadeus,M,
24,1984,Sam Waterston,The Killing Fields,M,
25,1985,William Hurt ‡,Kiss of the Spider Woman,M,
26,1985,Harrison Ford,Witness,M,
27,1985,James Garner,Murphy's Romance,M,
28,1985,Jack Nicholson,Prizzi's Honor,M,
29,1985,Jon Voight,Runaway Train,M,
30,1986,Paul Newman ‡,The Color of Money,M,
31,1986,Dexter Gordon,Round Midnight,M,
32,1986,Bob Hoskins,Mona Lisa,M,
33,1986,William Hurt,Children of a Lesser God,M,
34,1986,James Woods,Salvador,M,
35,1987,Michael Douglas ‡,Wall Street,M,
36,1987,William Hurt,Broadcast News,M,
37,1987,Marcello Mastroianni,Dark Eyes,M,
38,1987,Jack Nicholson,Ironweed,M,
39,1987,Robin Williams,"Good Morning, Vietnam",M,
40,1988,Dustin Hoffman ‡,Rain Man,M,
41,1988,Gene Hackman,Mississippi Burning,M,
42,1988,Tom Hanks,Big,M,
43,1988,Edward James Olmos,Stand and Deliver,M,
44,1988,Max von Sydow,Pelle the Conqueror,M,
45,1989,Daniel Day-Lewis ‡,My Left Foot,M,
46,1989,Kenneth Branagh,Henry V,M,
47,1989,Tom Cruise,Born on the Fourth of July,M,
48,1989,Morgan Freeman,Driving Miss Daisy,M,
49,1989,Robin Williams,Dead Poets Society,M,
0,1990,Jeremy Irons ‡,Reversal of Fortune,M,
1,1990,Kevin Costner,Dances with Wolves,M,
2,1990,Robert De Niro,Awakenings,M,
3,1990,Gérard Depardieu,Cyrano de Bergerac,M,
4,1990,Richard Harris,The Field,M,
5,1991,Anthony Hopkins ‡,The Silence of the Lambs,M,
6,1991,Warren Beatty,Bugsy,M,
7,1991,Robert De Niro,Cape Fear,M,
8,1991,Nick Nolte,The Prince of Tides,M,
9,1991,Robin Williams,The Fisher King,M,
10,1992,Al Pacino ‡,Scent of a Woman,M,
11,1992,Robert Downey Jr.,Chaplin,M,
12,1992,Clint Eastwood,Unforgiven,M,
13,1992,Stephen Rea,The Crying Game,M,
14,1992,Denzel Washington,Malcolm X,M,
15,1993,Tom Hanks ‡,Philadelphia,M,
16,1993,Daniel Day-Lewis,In the Name of the Father,M,
17,1993,Laurence Fishburne,What's Love Got to Do with It,M,
18,1993,Anthony Hopkins,The Remains of the Day,M,
19,1993,Liam Neeson,Schindler's List,M,
20,1994,Tom Hanks ‡,Forrest Gump,M,
21,1994,Morgan Freeman,The Shawshank Redemption,M,
22,1994,Nigel Hawthorne,The Madness of King George,M,
23,1994,Paul Newman,Nobody's Fool,M,
24,1994,John Travolta,Pulp Fiction,M,
25,1995,Nicolas Cage ‡,Leaving Las Vegas,M,
26,1995,Richard Dreyfuss,Mr. Holland's Opus,M,
27,1995,Anthony Hopkins,Nixon,M,
28,1995,Sean Penn,Dead Man Walking,M,
29,1995,Massimo Troisi †,Il Postino: The Postman,M,
30,1996,Geoffrey Rush ‡,Shine,M,
31,1996,Tom Cruise,Jerry Maguire,M,
32,1996,Ralph Fiennes,The English Patient,M,
33,1996,Woody Harrelson,The People vs. Larry Flynt,M,
34,1996,Billy Bob Thornton,Sling Blade,M,
35,1997,Jack Nicholson ‡,As Good as It Gets,M,
36,1997,Matt Damon,Good Will Hunting,M,
37,1997,Robert Duvall,The Apostle,M,
38,1997,Peter Fonda,Ulee's Gold,M,
39,1997,Dustin Hoffman,Wag the Dog,M,
40,1998,Roberto Benigni ‡,Life Is Beautiful,M,
41,1998,Tom Hanks,Saving Private Ryan,M,
42,1998,Ian McKellen,Gods and Monsters,M,
43,1998,Nick Nolte,Affliction,M,
44,1998,Edward Norton,American History X,M,
45,1999,Kevin Spacey ‡,American Beauty,M,
46,1999,Russell Crowe,The Insider,M,
47,1999,Richard Farnsworth,The Straight Story,M,
48,1999,Sean Penn,Sweet and Lowdown,M,
49,1999,Denzel Washington,The Hurricane,M,
0,2000,Russell Crowe ‡,Gladiator,M,
1,2000,Javier Bardem,Before Night Falls,M,
2,2000,Tom Hanks,Cast Away,M,
3,2000,Ed Harris,Pollock,M,
4,2000,Geoffrey Rush,Quills,M,
5,2001,Denzel Washington ‡,Training Day,M,
6,2001,Russell Crowe,A Beautiful Mind,M,
7,2001,Sean Penn,I Am Sam,M,
8,2001,Will Smith,Ali,M,
9,2001,Tom Wilkinson,In the Bedroom,M,
10,2002,Adrien Brody ‡,The Pianist,M,
11,2002,Nicolas Cage,Adaptation.,M,
12,2002,Michael Caine,The Quiet American,M,
13,2002,Daniel Day-Lewis,Gangs of New York,M,
14,2002,Jack Nicholson,About Schmidt,M,
15,2003,Sean Penn ‡,Mystic River,M,
16,2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,M,
17,2003,Ben Kingsley,House of Sand and Fog,M,
18,2003,Jude Law,Cold Mountain,M,
19,2003,Bill Murray,Lost in Translation,M,
20,2004,Jamie Foxx ‡,Ray,M,
21,2004,Don Cheadle,Hotel Rwanda,M,
22,2004,Johnny Depp,Finding Neverland,M,
23,2004,Leonardo DiCaprio,The Aviator,M,
24,2004,Clint Eastwood,Million Dollar Baby,M,
25,2005,Philip Seymour Hoffman ‡,Capote,M,
26,2005,Terrence Howard,Hustle & Flow,M,
27,2005,Heath Ledger,Brokeback Mountain,M,
28,2005,Joaquin Phoenix,Walk the Line,M,
29,2005,David Strathairn,"Good Night, and Good Luck.",M,
30,2006,Forest Whitaker ‡,The Last King of Scotland,M,
31,2006,Leonardo DiCaprio,Blood Diamond,M,
32,2006,Ryan Gosling,Half Nelson,M,
33,2006,Peter O'Toole,Venus,M,
34,2006,Will Smith,The Pursuit of Happyness,M,
35,2007,Daniel Day-Lewis ‡,There Will Be Blood,M,
36,2007,George Clooney,Michael Clayton,M,
37,2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,M,
38,2007,Tommy Lee Jones,In the Valley of Elah,M,
39,2007,Viggo Mortensen,Eastern Promises,M,
40,2008,Sean Penn ‡,Milk,M,
41,2008,Richard Jenkins,The Visitor,M,
42,2008,Frank Langella,Frost/Nixon,M,
43,2008,Brad Pitt,The Curious Case of Benjamin Button,M,
44,2008,Mickey Rourke,The Wrestler,M,
45,2009,Jeff Bridges ‡,Crazy Heart,M,
46,2009,George Clooney,Up in the Air,M,
47,2009,Colin Firth,A Single Man,M,
48,2009,Morgan Freeman,Invictus,M,
49,2009,Jeremy Renner,The Hurt Locker,M,
0,2010,Colin Firth ‡,The King's Speech,M,
1,2010,Javier Bardem,Biutiful,M,
2,2010,Jeff Bridges,True Grit,M,
3,2010,Jesse Eisenberg,The Social Network,M,
4,2010,James Franco,127 Hours,M,
5,2011,Jean Dujardin ‡,The Artist,M,
6,2011,Demián Bichir,A Better Life,M,
7,2011,George Clooney,The Descendants,M,
8,2011,Gary Oldman,Tinker Tailor Soldier Spy,M,
9,2011,Brad Pitt,Moneyball,M,
10,2012,Daniel Day-Lewis ‡,Lincoln,M,
11,2012,Bradley Cooper,Silver Linings Playbook,M,
12,2012,Hugh Jackman,Les Misérables,M,
13,2012,Joaquin Phoenix,The Master,M,
14,2012,Denzel Washington,Flight,M,
15,2013,Matthew McConaughey ‡,Dallas Buyers Club,M,
16,2013,Christian Bale,American Hustle,M,
17,2013,Bruce Dern,Nebraska,M,
18,2013,Leonardo DiCaprio,The Wolf of Wall Street,M,
19,2013,Chiwetel Ejiofor,12 Years a Slave,M,
20,2014,Eddie Redmayne ‡,The Theory of Everything,M,
21,2014,Steve Carell,Foxcatcher,M,
22,2014,Bradley Cooper,American Sniper,M,
23,2014,Benedict Cumberbatch,The Imitation Game,M,
24,2014,Michael Keaton,Birdman,M,
25,2015,Leonardo DiCaprio ‡,The Revenant,M,
26,2015,Bryan Cranston,Trumbo,M,
27,2015,Matt Damon,The Martian,M,
28,2015,Michael Fassbender,Steve Jobs,M,
29,2015,Eddie Redmayne,The Danish Girl,M,
30,2016,Casey Affleck ‡,Manchester by the Sea,M,
31,2016,Andrew Garfield,Hacksaw Ridge,M,
32,2016,Ryan Gosling,La La Land,M,
33,2016,Viggo Mortensen,Captain Fantastic,M,
34,2016,Denzel Washington,Fences,M,
35,2017,Gary Oldman ‡,Darkest Hour,M,
36,2017,Timothée Chalamet,Call Me by Your Name,M,
37,2017,Daniel Day-Lewis,Phantom Thread,M,
38,2017,Daniel Kaluuya,Get Out,M,
39,2017,Denzel Washington,"Roman J. Israel, Esq.",M,
40,2018,Rami Malek ‡,Bohemian Rhapsody,M,
41,2018,Christian Bale,Vice,M,
42,2018,Bradley Cooper,A Star Is Born,M,
43,2018,Willem Dafoe,At Eternity's Gate,M,
44,2018,Viggo Mortensen,Green Book,M,
45,2019,Joaquin Phoenix ‡,Joker,M,
46,2019,Antonio Banderas,Pain and Glory,M,
47,2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,M,
48,2019,Adam Driver,Marriage Story,M,
49,2019,Jonathan Pryce,The Two Popes,M,
0,2020,Anthony Hopkins ‡,The Father,M,
1,2020,Riz Ahmed,Sound of Metal,M,
2,2020,Chadwick Boseman †,Ma Rainey's Black Bottom,M,
3,2020,Gary Oldman,Mank,M,
4,2020,Steven Yeun,Minari,M,
5,2021,Will Smith ‡,King Richard,M,
6,2021,Javier Bardem,Being the Ricardos,M,
7,2021,Benedict Cumberbatch,The Power of the Dog,M,
8,2021,Andrew Garfield,"Tick, Tick... Boom!",M,
9,2021,Denzel Washington,The Tragedy of Macbeth,M,
10,2022,Brendan Fraser ‡,The Whale,M,
11,2022,Austin Butler,Elvis,M,
12,2022,Colin Farrell,The Banshees of Inisherin,M,
13,2022,Paul Mescal,Aftersun,M,
14,2022,Bill Nighy,Living,M,
15,2023,Bradley Cooper,Maestro,M,
16,2023,Colman Domingo,Rustin,M,
17,2023,Paul Giamatti,The Holdovers,M,
18,2023,Cillian Murphy,Oppenheimer,M,
19,2023,Jeffrey Wright,American Fiction,M,
0,1929,Emil Jannings,"The Last Command, The Way of All Flesh",M,44.0
1,1930,Warner Baxter,In Old Arizona,M,41.0
2,1931,George Arliss,Disraeli,M,62.0
3,1932,Lionel Barrymore,A Free Soul,M,53.0
4,1933,Wallace Beery,The Champ,M,47.0
5,1934,Fredric March,Dr. Jekyll and Mr. Hyde,M,35.0
6,1935,Charles Laughton,The Private Life of Henry VIII,M,34.0
7,1936,Clark Gable,It Happened One Night,M,34.0
8,1937,Victor McLaglen,The Informer	,M,49.0
9,1938,Paul Muni,The Story of Louis Pasteur	,M,41.0
10,1939,Spencer Tracy,Captains Courageous,M,37.0
11,1940,Spencer Tracy,Boys Town,M,38.0
12,1941,Robert Donat,"Goodbye, Mr. Chips	",M,34.0
13,1942,James Stewart,The Philadelphia Story,M,32.0
14,1943,Gary Cooper,Sergeant York,M,40.0
15,1944,James Cagney,Yankee Doodle Dandy	,M,43.0
16,1945,Paul Lukas,Watch on the Rhine	,M,48.0
17,1946,Bing Crosby,Going My Way,M,41.0
18,1947,Ray Milland,The Lost Weekend 	,M,39.0
19,1948,Fredric March,The Best Years of Our Lives,M,49.0
20,1949,Ronald Colman,A Double Life,M,57.0
21,1950,Laurence Olivier,Hamlet,M,41.0
22,1951,Broderick Crawford,All the King's Men,M,38.0
23,1952,José Ferrer,Cyrano de Bergerac,M,39.0
24,1953,Humphrey Bogart,The African Queen,M,52.0
25,1954,Gary Cooper,High Noon,M,51.0
26,1955,William Holden,Stalag 17,M,35.0
27,1956,Marlon Brando,On the Waterfront,M,30.0
28,1957,Ernest Borgnine,Marty,M,39.0
29,1958,Yul Brynner,The King and I,M,36.0
30,1959,Alec Guinness,The Bridge on the River Kwai,M,43.0
31,1960,David Niven,Separate Tables,M,49.0
32,1961,Charlton Heston,Ben-Hur,M,36.0
33,1962,Burt Lancaster,Elmer Gantry,M,47.0
34,1963,Maximilian Schell,Judgment at Nuremberg	,M,31.0
35,1964,Gregory Peck,To Kill a Mockingbird,M,47.0
36,1965,Sidney Poitier,Lilies of the Field,M,37.0
37,1966,Rex Harrison,My Fair Lady,M,57.0
38,1967,Lee Marvin,Cat Ballou	,M,42.0
39,1968,Paul Scofield,A Man for All Seasons,M,45.0
40,1969,Rod Steiger,In the Heat of the Night	,M,42.0
41,1970,Cliff Robertson,Charly,M,45.0
42,1971,John Wayne,True Grit,M,62.0
43,1972,George C. Scott,Patton,M,43.0
44,1973,Gene Hackman,The French Connection,M,42.0
45,1974,Marlon Brando,The Godfather,M,48.0
46,1975,Jack Lemmon,Save the Tiger,M,49.0
47,1976,Art Carney,Harry and Tonto,M,56.0
48,1977,Jack Nicholson,One Flew Over the Cuckoo's Nest,M,38.0
49,1978,Peter Finch,Network,M,60.0
50,1979,Richard Dreyfuss,The Goodbye Girl,M,30.0
51,1980,Jon Voight,Coming Home,M,40.0
52,1981,Dustin Hoffman,Kramer vs. Kramer,M,42.0
53,1982,Robert De Niro,Raging Bull,M,37.0
54,1983,Henry Fonda,On Golden Pond,M,76.0
55,1984,Ben Kingsley,Gandhi,M,39.0
56,1985,Robert Duvall,Tender Mercies,M,53.0
57,1986,F. Murray Abraham,Amadeus,M,45.0
58,1987,William Hurt,Kiss of the Spider Woman,M,36.0
59,1988,Paul Newman,The Color of Money,M,62.0
60,1989,Michael Douglas,Wall Street,M,43.0
61,1990,Dustin Hoffman,Rain Man,M,51.0
62,1991,Daniel Day-Lewis,My Left Foot,M,32.0
63,1992,Jeremy Irons,Reversal of Fortune,M,42.0
64,1993,Anthony Hopkins,The Silence of the Lambs,M,54.0
65,1994,Al Pacino,Scent of a Woman,M,52.0
66,1995,Tom Hanks,Philadelphia,M,37.0
67,1996,Tom Hanks,Forrest Gump,M,38.0
68,1997,Nicolas Cage,Leaving Las Vegas,M,32.0
69,1998,Geoffrey Rush,Shine,M,45.0
70,1999,Jack Nicholson,As Good as It Gets,M,60.0
71,2000,Roberto Benigni,Life Is Beautiful,M,46.0
72,2001,Kevin Spacey,American Beauty,M,40.0
73,2002,Russell Crowe,Gladiator,M,36.0
74,2003,Denzel Washington,Training Day	,M,47.0
75,2004,Adrien Brody,The Pianist,M,29.0
76,2005,Sean Penn,Mystic River,M,43.0
77,2006,Jamie Foxx,Ray,M,37.0
78,2007,Philip Seymour Hoffman,Capote,M,38.0
79,2008,Forest Whitaker,The Last King of Scotland	,M,45.0
80,2009,Daniel Day-Lewis,There Will Be Blood,M,50.0
81,2010,Sean Penn,Milk,M,48.0
82,2011,Jeff Bridges,Crazy Heart,M,60.0
83,2012,Colin Firth,The King's Speech	,M,50.0
84,2013,Jean Dujardin,The Artist,M,39.0
85,2014,Daniel Day-Lewis,Lincoln,M,55.0
86,2015,Matthew McConaughey,Dallas Buyers Club,M,44.0
87,2016,Eddie Redmayne,The Theory of Everything	,M,33.0
88,2017,Leonardo DiCaprio,The Revenant,M,41.0
